Elapsed:                                          PropagateRadiationGuided: Iteration : 7 27.50 s
Elapsed:      :PropagateRadiationMeth_0 : PropagateRadiationSingleE_Meth_0 - cycles: 3747 17.44 s
Elapsed:                                                    Iteration: PropagateRadiation 17.44 s
Elapsed:                                          PropagateRadiationGuided: Iteration : 8 17.44 s
Elapsed:              :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:TraverseRadZXE 1 11.53 s
Elapsed:                                                    ::SetRadRepres : cycles: 3747 56.37 s
Elapsed:                :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:SetRadRepres 2 56.37 s
Elapsed:              :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:TraverseRadZXE 2 16.96 s
Elapsed:                                                    ::SetRadRepres : cycles: 3747 55.70 s
Elapsed:                :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:SetRadRepres 3 55.70 s
Elapsed:              :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:TraverseRadZXE 3 11.75 s
Elapsed:                                                    Iteration: PropagateRadiation 152.32 s
Elapsed:                                          PropagateRadiationGuided: Iteration : 9 152.32 s
Elapsed:      :PropagateRadiationMeth_0 : PropagateRadiationSingleE_Meth_0 - cycles: 3747 64.18 s
Elapsed:                                                    Iteration: PropagateRadiation 64.19 s
Elapsed:                                         PropagateRadiationGuided: Iteration : 10 64.19 s
Elapsed:      :PropagateRadiationMeth_0 : PropagateRadiationSingleE_Meth_0 - cycles: 3747 16.65 s
Elapsed:                                                    Iteration: PropagateRadiation 16.65 s
Elapsed:                                         PropagateRadiationGuided: Iteration : 11 16.65 s
Elapsed:              :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:TraverseRadZXE 1 11.51 s
Elapsed:                                                    ::SetRadRepres : cycles: 3747 56.78 s
Elapsed:                :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:SetRadRepres 2 56.78 s
Elapsed:              :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:TraverseRadZXE 2 16.55 s
Elapsed:                                                    ::SetRadRepres : cycles: 3747 58.70 s
Elapsed:                :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:SetRadRepres 3 58.70 s
Elapsed:              :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:TraverseRadZXE 3 11.52 s
Elapsed:               :PropagateRadiationSimple_AnalytTreatQuadPhaseTerm:MirrorFieldData  7.61 s
Elapsed:                                                    Iteration: PropagateRadiation 162.67 s
Elapsed:                                         PropagateRadiationGuided: Iteration : 12 162.67 s
Elapsed:                                    srwlPropagElecField: PropagateRadiationGuided 6942.41 s
Elapsed:                                     :srwlpy_PropagElecField :srwlPropagElecField 6942.41 s
Elapsed:                                                          propagate:bl0.propagate 6947.95 s
Elapsed:                                                   propagate:SetRepresElecField 2 147.63 s
Elapsed:                        RadResizeGen: TreatPolarizSepar-NewSRWRadStructAccessData  1.66 s
Elapsed:                                    RadResizeCore: TreatStronglyOscillatingTerm 1 29.65 s
Elapsed:                                                      RadResizeCore: cycles: 3747 13.20 s
Elapsed:                                    RadResizeCore: TreatStronglyOscillatingTerm 2  0.71 s
Elapsed:                                                      RadResizeGen: RadResizeCore 43.55 s
Elapsed:                                                        propagate:ResizeElecField 45.33 s
Elapsed:                                                                   Calculate_fwhm  3.03 s
Elapsed:                                                     propagate:Set field str(bl0)  2.64 s
Elapsed:                                                                       store_hdf5 21.05 s
Elapsed:                                                                        propagate 7187.05 s
